Epoch 1, Loss: 0.8347, Test Accuracy: 70.60%
Epoch 2, Loss: 0.5635, Test Accuracy: 82.10%
Epoch 3, Loss: 0.3656, Test Accuracy: 84.10%
Epoch 4, Loss: 0.2837, Test Accuracy: 87.70%
Epoch 5, Loss: 0.2325, Test Accuracy: 86.20%
Epoch 6, Loss: 0.2258, Test Accuracy: 86.50%
Epoch 7, Loss: 0.1735, Test Accuracy: 92.10%
Epoch 8, Loss: 0.1565, Test Accuracy: 93.80%
Epoch 9, Loss: 0.1617, Test Accuracy: 91.40%
Epoch 10, Loss: 0.0718, Test Accuracy: 93.70%
Epoch 11, Loss: 0.0612, Test Accuracy: 92.60%
Epoch 12, Loss: 0.1200, Test Accuracy: 92.70%
Epoch 13, Loss: 0.0551, Test Accuracy: 93.40%
Epoch 14, Loss: 0.0346, Test Accuracy: 92.70%
Epoch 15, Loss: 0.0687, Test Accuracy: 88.40%
